acida	[Methyloacida]
monas	Barrientosiimonas
monas	"Binariimonas"
monas	Blastomonas
monas	Brachymonas
monas	Bradymonas
monas	"Candidatus Branchiomonas"
monas	Brevundimonas
monas	Butyricimonas
monas	"Caedimonas"
monas	Caenimonas
monas	Caldimonas
monas	Calorimonas
monas	Camelimonas
monas	Candidimonas
monas	Capsulimonas
monas	Carnimonas
monas	Catalinimonas
monas	"Candidatus Catenimonas"
monas	Celerinatantimonas
monas	Cellulomonas
monas	"Candidatus Cellulosimonas"
monas	Chitinimonas
monas	"Chloropseudomonas"
monas	Chryseomonas
monas	Chthonomonas
monas	Citreimonas
monas	"Candidatus Cloacamonas"
monas	"Candidatus Cloacimonas" corrig.
monas	Cocleimonas
monas	Collimonas
monas	"Comamonas"
monas	"Comamonas"
monas	Comamonas
monas	Compostimonas
monas	Conglomeromonas
monas	Corallomonas
monas	[Dechlorimonas]
monas	Dechloromonas
monas	Defluviimonas
monas	Dehalogenimonas
monas	"Denitratimonas"
monas	Denitrificimonas
monas	"Denitromonas"
monas	Desertimonas
monas	Desulfomonas
monas	Desulfosalsimonas
monas	Desulfuromonas
monas	Diaminobutyricimonas
monas	"Candidatus Dichloromethanomonas"
monas	Dysgonomonas
monas	Echinimonas
monas	Eilatimonas
monas	Endozoicomonas
monas	Entomomonas
monas	Epilithonimonas
monas	Erythromonas
monas	Extensimonas
monas	Faecalimonas
monas	Falcatimonas
monas	Fermentimonas
monas	Ferrimonas
monas	"Candidatus Fibrimonas" corrig.
monas	"Candidatus Fibromonas"
monas	Filimonas
monas	Fimbriimonas
monas	Flagellatimonas
monas	Flagellimonas
monas	Flavimonas
monas	Fluviimonas
monas	Fontimonas
monas	[Formimonas]
monas	Formosimonas
monas	Frigoriflavimonas
monas	Fulvimonas
monas	"Fusimonas"
monas	Gallaecimonas
monas	"Galloisinimonas"
monas	"Gayadomonas"
monas	Gemmatimonas
monas	Geomobilimonas
monas	"Geomonas"
monas	Geomonas
monas	Glaciimonas
monas	Gracilimonas
monas	Gymnodinialimonas
monas	Halomonas
monas	Heliimonas
monas	"Candidatus Heliomonas"
monas	Herminiimonas
monas	Homoserinimonas
monas	Hydrogenimonas
monas	"Hydrogenomonas"
monas	Hydromonas
monas	Hyphomonas
monas	Ilyomonas
monas	Intestinimonas
monas	Iodidimonas
monas	Kistimonas
monas	"Candidatus Kopriimonas"
monas	Kordiimonas
monas	Lacimonas
monas	Lacisediminimonas
monas	Larsenimonas
monas	Lebetimonas
monas	"Lentimonas"
monas	Limimonas
monas	Litorimonas
monas	Longimonas
monas	Lunatimonas
monas	Luteimonas
monas	Lutimonas
monas	Lysinimonas
monas	"Candidatus Macondimonas"
monas	Macromonas
monas	Maioricimonas
monas	Malonomonas
monas	Mangrovimonas
monas	Marimonas
monas	Marinomonas
monas	"Marinosulfonomonas"
monas	Maritimimonas
monas	Marixanthomonas
monas	Megamonas
monas	Merdimonas
monas	"Methanomonas"
monas	Methylohalomonas
monas	Methylomonas
monas	"Methylosulfonomonas"
monas	Micromonas
monas	"Candidatus Microsaccharimonas" corrig.
monas	Miniimonas
monas	Mongoliimonas
monas	Motilimonas
monas	Murimonas
monas	Natronomonas
monas	[Necromonas]
monas	Neptunomonas
monas	Nitrosomonas
monas	Novacetimonas
monas	Oblitimonas
monas	"Oblitimonas"
monas	Oceanimonas corrig.
monas	Oceanomonas
monas	Oleiagrimonas
monas	"Oleomonas"
monas	[Ophidomonas]
monas	Oryzomonas
monas	Pacificimonas corrig.
monas	Panacagrimonas
monas	Parvimonas
monas	Paucimonas
monas	Pedomonas
monas	Pelagimonas
monas	Pelomonas
monas	Perlabentimonas
monas	Persicimonas
monas	Petrimonas
monas	"Phaeomarinomonas"
monas	[Phytomonas]
monas	Pirellulimonas
monas	Planctomonas
monas	Pleomorphomonas
monas	Plesiomonas corrig.
monas	Polaromonas
monas	Pontimonas
monas	Porphyromonas
monas	Posidoniimonas
monas	"Profundimonas"
monas	Propionicimonas
monas	Protomonas
monas	Pseudomonas
monas	Psychromonas
monas	Pusillimonas
monas	Pusillimonas
monas	Pyrinomonas
monas	Rhizomonas
monas	Roseomonas
monas	"Rubidimonas"
monas	Rubrimonas
monas	Rugamonas
monas	"Candidatus Saccharimonas"
monas	"Saccharomonas"
monas	Salaquimonas
monas	Salinarimonas
monas	Salinimonas
monas	Salsuginimonas
monas	Sandaracinomonas
monas	Sansalvadorimonas
