acinum	Desulfacinum
bacterium	Halomarinibacterium
bacterium	Halorubrobacterium
bacterium	Heliobacterium
bacterium	Histidinibacterium
bacterium	Hydrogenoanaerobacterium
bacterium	Hyphobacterium
bacterium	Ichthyenterobacterium
bacterium	Ichthyobacterium
bacterium	Ignavibacterium
bacterium	Ileibacterium
bacterium	Inediibacterium
bacterium	Janthinobacterium
bacterium	Lachnobacterium
bacterium	Lacibacterium
bacterium	Leptobacterium
bacterium	Lichenibacterium
bacterium	Litoribacterium
bacterium	Lucibacterium
bacterium	Lutibacterium
bacterium	Mangrovibacterium
bacterium	Maribrevibacterium
bacterium	Marinibacterium
bacterium	Marinobacterium
bacterium	Massilibacterium
bacterium	Mesobacterium
bacterium	Metabacterium
bacterium	Metallibacterium
bacterium	Methanobacterium
bacterium	Methylobacterium
bacterium	Microbacterium
bacterium	Minibacterium
bacterium	Mobilibacterium
bacterium	Mogibacterium
bacterium	Monaibacterium
bacterium	Mycobacterium
bacterium	Mycolicibacterium
bacterium	Nanobacterium
bacterium	Natronobacterium
bacterium	Necrobacterium
bacterium	Nigeribacterium
bacterium	Niveibacterium
bacterium	Obesumbacterium
bacterium	Oceanibacterium
bacterium	Okibacterium
bacterium	Oribacterium
bacterium	Ornithobacterium
bacterium	Ostreibacterium
bacterium	Oxalicibacterium
bacterium	Paludibacterium
bacterium	Pectobacterium
bacterium	Pelagibacterium
bacterium	Phaeobacterium
bacterium	Phascolarctobacterium
bacterium	Phenylobacterium
bacterium	Photobacterium
bacterium	Phyllobacterium
bacterium	Piscinibacterium
bacterium	Planctobacterium
bacterium	Planobacterium
bacterium	Pleomorphobacterium
bacterium	Pontibacterium
bacterium	Populibacterium
bacterium	Porrumbacterium
bacterium	Profundibacterium
bacterium	Propionibacterium
bacterium	Provencibacterium
bacterium	Puerhibacterium
bacterium	Puniceibacterium
bacterium	Pustulibacterium
bacterium	Quisquiliibacterium
bacterium	Ramibacterium
bacterium	Rehaibacterium
bacterium	Renibacterium
bacterium	Rhizobacterium
bacterium	Roizmanbacterium
bacterium	Roseibacterium
bacterium	Rubribacterium
bacterium	Ructibacterium
bacterium	Ruthenibacterium
bacterium	Salibacterium
bacterium	Salinibacterium
bacterium	Salisediminibacterium
bacterium	Sediminibacterium
bacterium	Seleniibacterium
bacterium	Seminibacterium
bacterium	Silvibacterium
bacterium	Sinimarinibacterium
bacterium	Sinobacterium
bacterium	Solobacterium
bacterium	Sphingobacterium
bacterium	Sphingoterrabacterium
bacterium	Spirabiliibacterium
bacterium	Spongiibacterium
bacterium	Sporobacterium
bacterium	Sporosalibacterium
bacterium	Sterolibacterium
bacterium	Streptobacterium
bacterium	Symbiobacterium
bacterium	Syntrophobacterium
bacterium	Thermoanaerobacterium
bacterium	Thermobacterium
bacterium	Thermodesulfobacterium
bacterium	Thermoterrabacterium
bacterium	Thiobacterium
bacterium	Uliginosibacterium
bacterium	Ulvibacterium
bacterium	Undibacterium
bacterium	Viridibacterium
bacterium	Vulcaniibacterium
bacterium	Xylanibacterium
bacterium	Zymobacterium
baculum	Actinobaculum
baculum	Aestuariibaculum
baculum	Agathobaculum
baculum	Alkalibaculum
baculum	Allobaculum
baculum	Anaerobaculum
baculum	Arenibaculum
baculum	Aureibaculum
baculum	Caenibaculum
baculum	Candidatus Vestibaculum
baculum	Chlorobaculum
baculum	Copranaerobaculum
baculum	Denitrobaculum
baculum	Desulfobaculum
baculum	Edaphobaculum
baculum	Faecalibaculum
baculum	Halanaerobaculum
baculum	Halobaculum
baculum	Hydrogenobaculum
baculum	Intestinibaculum
baculum	Isobaculum
baculum	Keratinibaculum
baculum	Labilibaculum
baculum	Lachnoanaerobaculum
baculum	Limibaculum
baculum	Limnobaculum
baculum	Litoribaculum
baculum	Longibaculum
baculum	Luteibaculum
baculum	Lutibaculum
baculum	Maribaculum
baculum	Marinibaculum
baculum	Mesobaculum
baculum	Microbaculum
baculum	Muribaculum
baculum	Natranaerobaculum
baculum	Natrarchaeobaculum
baculum	Natribaculum
baculum	Neoactinobaculum
baculum	Oceanibaculum
baculum	Oribaculum
baculum	Paludibaculum
baculum	Parvibaculum
baculum	Pelagibaculum
baculum	Pyrobaculum
baculum	Rhodobaculum
baculum	Salibaculum
baculum	Salinibaculum
baculum	Solibaculum
baculum	Stomatobaculum
baculum	Tenacibaculum
baculum	Tepidibaculum
baculum	Thalassobaculum
baculum	Thermoanaerobaculum
baculum	Thermobaculum
baculum	Thermohalobaculum
baculum	Varibaculum
balnearium	Balnearium
bium	"Candidatus Thiosymbium" corrig.
bium	Acetoanaerobium
bium	Acetohalobium
bium	Anaerobium
bium	Aquibium
bium	Atopobium
bium	Candidatus Nanohalobium
bium	Candidatus Nitrobium
bium	Candidatus Sulfobium
bium	Candidatus Xenobium
bium	Chlorobium
bium	Cyanobium
