aceticus	Syntrophaceticus
bacter	Geosporobacter
bacter	Geothermobacter
bacter	Gilvibacter
bacter	Ginsengibacter
bacter	Glaciibacter
bacter	Gloeobacter
bacter	Glucerabacter
bacter	Gluconobacter
bacter	Glutamicibacter
bacter	Gordonibacter
bacter	Gracilibacter
bacter	Granulibacter
bacter	Granulobacter
bacter	Gulosibacter
bacter	Haematobacter
bacter	Haererehalobacter
bacter	Halalkalibacter
bacter	Halanaerobacter corrig.
bacter	Halarcobacter corrig.
bacter	Halarsenatibacter
bacter	Haliscomenobacter
bacter	Haloanaerobacter
bacter	Haloarcobacter
bacter	Halobacter
bacter	Halocynthiibacter
bacter	Haloflavibacter
bacter	Hartmannibacter
bacter	Hasllibacter
bacter	Helicobacter
bacter	Hevizibacter
bacter	Homoserinibacter
bacter	Huaxiibacter
bacter	Humibacter
bacter	Hydrobacter
bacter	Hydrogenobacter
bacter	Hymenobacter
bacter	Hypericibacter
bacter	Hyphobacter
bacter	Ihubacter
bacter	Ilumatobacter
bacter	Ilyobacter
bacter	Immundisolibacter
bacter	Imperialibacter
bacter	Indibacter
bacter	Intestinibacter
bacter	Iodobacter
bacter	Irregularibacter
bacter	Janibacter
bacter	Jejubacter
bacter	Jinshanibacter
bacter	Jiulongibacter
bacter	Kaistobacter
bacter	Ketobacter
bacter	Koleobacter
bacter	Komagatabacter
bacter	Komagataeibacter
bacter	Konateibacter
bacter	Koreibacter
bacter	Korobacter
bacter	Krokinobacter
bacter	Ktedobacter
bacter	Ktedonobacter corrig.
bacter	Ktedonosporobacter
bacter	Labilibacter
bacter	Lacibacter
bacter	Lamprobacter
bacter	Laribacter
bacter	Lawsonibacter
bacter	Lentibacter
bacter	Lentihominibacter
bacter	Lentilitoribacter
bacter	Leucobacter
bacter	Liberibacter
bacter	Limibacter
bacter	Limnobacter
bacter	Limoniibacter
bacter	Litoreibacter
bacter	Litoribacter
bacter	Litoribrevibacter
bacter	Longibacter
bacter	Lunatibacter
bacter	Luteibacter
bacter	Luteithermobacter
bacter	Luteolibacter
bacter	Lutibacter
bacter	Lutimaribacter
bacter	Luxibacter
bacter	Lysinibacter
bacter	Lysobacter
bacter	Mabikibacter
bacter	Malaciobacter corrig.
bacter	Malacobacter
bacter	Maledivibacter
bacter	Mangrovibacter
bacter	Maribacter
bacter	Marinilongibacter
bacter	Marinisporobacter
bacter	Marinobacter
bacter	Maripseudobacter
bacter	Maritimibacter
bacter	Marseillibacter
bacter	Mediterraneibacter
bacter	Melioribacter
bacter	Merdibacter
bacter	Mergibacter
bacter	Meridianimaribacter
bacter	Mesocricetibacter
bacter	Mesoflavibacter
bacter	Mesohalobacter
bacter	Mesopelagibacter
bacter	Mesophilobacter
bacter	Methanobrevibacter
bacter	Methanothermobacter
bacter	Methylobacter
bacter	Methyloceanibacter
bacter	Microaerobacter
bacter	Microbacter
bacter	Miniphocaeibacter corrig.
bacter	Miniphocibacter
bacter	Mizugakiibacter
bacter	Mobilisporobacter
bacter	Modestobacter
bacter	Modicisalibacter
bacter	Moheibacter
bacter	Mongoliibacter
bacter	Motilibacter
bacter	Mucibacter
bacter	Mucilaginibacter
bacter	Muribacter
bacter	Mycolicibacter
bacter	Myxobacter
bacter	Natronohydrobacter
bacter	Naxibacter
bacter	Ndongobacter
bacter	Necropsobacter
bacter	Neglectibacter
bacter	Neptuniibacter
bacter	Nesiotobacter
bacter	Nguyenibacter
bacter	Niameybacter
bacter	Nibribacter
bacter	Nissabacter
bacter	Nitrobacter
bacter	Nitrogeniibacter
bacter	Notoacmeibacter
bacter	Occallatibacter
bacter	Oceanobacter
bacter	Octadecabacter
bacter	Odoribacter
bacter	Oecophyllibacter
bacter	Oharaeibacter
bacter	Oleibacter
bacter	Oleisolibacter
bacter	Olivibacter
bacter	Ornithinibacter
bacter	Oryzisolibacter
bacter	Oryzobacter
bacter	Oscillibacter
bacter	Otariodibacter
bacter	Oxalobacter
bacter	Oxobacter
bacter	Pacificibacter
bacter	Pajaroellobacter
bacter	Paludibacter
bacter	Panacibacter
bacter	Pannonibacter
bacter	Papillibacter
bacter	Parvibacter
bacter	Parviterribacter
bacter	Patulibacter
bacter	Paucibacter
bacter	Paucihalobacter
bacter	Pedobacter
bacter	Pelagiobacter
bacter	Pelobacter
bacter	Peptoanaerobacter
bacter	Peredibacter
bacter	Perexilibacter
bacter	Permianibacter
bacter	Persicobacter
bacter	Perspicuibacter
bacter	Petrobacter
bacter	Petrothermobacter
bacter	Phaeobacter
bacter	Phaeocystidibacter
bacter	Phaeodactylibacter
bacter	Phaseolibacter
bacter	Phnomibacter
bacter	Phocoenobacter
bacter	Phoenicibacter
bacter	Photobacter
bacter	Phragmitibacter
bacter	Phreatobacter
bacter	Phytobacter
bacter	Piezobacter
bacter	Pigmentibacter
bacter	Pilibacter
bacter	Pimelobacter
bacter	Pinibacter
bacter	Pinirhizobacter
bacter	Pinisolibacter
bacter	Piscinibacter
bacter	Plantibacter
bacter	Pluralibacter
bacter	Pokkaliibacter
bacter	Polaribacter
bacter	Polycladidibacter
bacter	Polymorphobacter
bacter	Polynucleobacter
bacter	Pontibacter
bacter	Pontibrevibacter
bacter	Pontixanthobacter
bacter	Populibacter
bacter	Porphyrobacter
bacter	Portibacter
bacter	Poseidonibacter
bacter	Povalibacter
bacter	Prasinibacter
bacter	Primorskyibacter
bacter	Profundibacter
bacter	Prolixibacter
bacter	Propionibacter
bacter	Prosthecobacter
bacter	Protaetiibacter
bacter	Protaminobacter
